home_id,device_name,energy_usage,household_size
94,Fridge,0.2,2
435,Oven,0.23,5
466,Dishwasher,0.32,3
496,Heater,3.92,1
137,Microwave,0.44,5
68,Air Conditioning,4.68,1
237,Computer,0.25,3
329,Air Conditioning,3.5,4
336,Dishwasher,0.89,1
310,Microwave,1.34,5
368,Oven,0.64,3
115,Dishwasher,1.33,2
41,Microwave,0.85,3
465,Oven,1.24,5
94,Air Conditioning,2.88,1
229,Heater,4.11,2
360,Fridge,0.12,2
71,TV,1.65,4
352,Dishwasher,1.62,4
445,Dishwasher,1.33,5
257,Computer,0.35,5
133,Washing Machine,1.09,3
372,Air Conditioning,3.05,4
253,Heater,4.87,2
59,Lights,1.02,3
419,Oven,0.65,4
466,Heater,2.03,5
281,Oven,0.28,5
257,Air Conditioning,4.84,4
120,Oven,0.38,4
343,Washing Machine,1.17,4
157,Microwave,0.3,2
242,Lights,1.36,4
321,Dishwasher,1.55,1
19,TV,0.65,4
114,TV,0.47,2
405,Computer,1.53,4
470,Oven,0.73,1
484,Heater,2.88,4
368,Computer,0.93,4
414,TV,1.63,4
383,Computer,0.79,5
68,Microwave,1.01,1
50,Heater,2.54,4
156,Oven,1.33,1
10,Lights,1.63,2
209,Oven,0.38,4
102,Oven,1.88,3
212,TV,1.34,1
214,Air Conditioning,3.44,4
358,Air Conditioning,2.61,4
463,Washing Machine,0.95,2
465,Washing Machine,0.49,1
286,Air Conditioning,2.92,3
56,TV,1.12,2
236,Air Conditioning,4.08,1
131,TV,1.62,3
435,Fridge,0.45,1
285,Washing Machine,1.52,1
399,TV,1.61,4
165,Dishwasher,0.71,4
472,Computer,0.87,4
315,Fridge,0.4,5
41,Washing Machine,1.32,2
403,Washing Machine,0.94,1
181,Microwave,1.68,1
325,TV,1.69,3
349,TV,1.86,5
218,Lights,1.29,1
76,Computer,0.33,5
233,Air Conditioning,2.9,4
449,TV,0.34,5
408,Microwave,1.8,1
265,Microwave,0.85,5
496,Washing Machine,1.94,3
90,Computer,0.83,5
390,Air Conditioning,2.3,5
165,Air Conditioning,4.69,3
76,Dishwasher,0.3,2
63,Oven,1.44,1
401,TV,1.68,1
492,Lights,0.27,5
399,Microwave,1.3,4
492,Dishwasher,1.9,2
372,Computer,1.61,4
264,Oven,0.37,2
7,Air Conditioning,2.45,3
355,Microwave,0.94,4
92,Lights,1.1,5
24,Microwave,0.2,1
348,Microwave,1.68,1
198,Washing Machine,1.08,1
315,Air Conditioning,3.11,2
499,TV,0.24,4
258,Lights,1.34,1
465,Oven,0.92,3
447,Microwave,0.58,1
439,TV,0.49,5
384,Dishwasher,0.65,2
8,Computer,0.53,5
410,Fridge,0.19,5
396,Air Conditioning,4.11,4
244,Oven,1.1,2
462,Microwave,0.58,4
355,Heater,4.65,3
93,Air Conditioning,3.56,1
487,Dishwasher,1.22,5
370,Fridge,0.39,4
63,Dishwasher,0.93,3
445,Heater,2.34,1
159,Heater,4.34,1
234,Oven,1.68,2
128,Heater,2.88,3
332,Oven,1.93,4
71,Heater,4.4,4
137,Oven,1.69,1
12,Oven,1.14,5
333,Fridge,0.16,2
163,Washing Machine,0.52,1
271,Washing Machine,0.78,4
122,Microwave,0.83,1
166,Computer,1.39,1
184,Air Conditioning,2.84,2
343,Washing Machine,0.92,1
251,Dishwasher,0.51,2
223,Washing Machine,0.62,1
98,Oven,1.75,3
30,Fridge,0.12,5
376,TV,0.65,2
372,Air Conditioning,4.55,5
110,Microwave,1.7,4
332,Lights,0.75,4
257,Washing Machine,1.55,4
7,TV,0.68,1
420,Heater,2.79,3
125,Air Conditioning,4.85,1
94,Washing Machine,0.22,3
489,Computer,1.12,5
253,Fridge,0.5,1
88,Dishwasher,1.78,5
340,Air Conditioning,2.13,2
259,Heater,2.0,1
425,Lights,0.3,4
216,Lights,0.5,4
419,Computer,1.38,3
64,Dishwasher,1.09,2
49,TV,1.23,2
322,Lights,1.01,2
154,Fridge,0.38,5
485,Computer,0.77,1
404,Fridge,0.41,2
227,Air Conditioning,2.21,3
406,Dishwasher,0.26,1
385,Fridge,0.1,5
288,Washing Machine,0.38,2
340,Air Conditioning,3.5,2
285,Dishwasher,0.99,4
80,Computer,1.7,4
273,Heater,2.04,2
432,Computer,0.52,3
252,Air Conditioning,3.24,2
20,Dishwasher,1.45,1
307,Washing Machine,0.64,1
339,Air Conditioning,3.38,2
270,Washing Machine,1.5,2
256,Heater,2.85,3
274,Fridge,0.5,1
125,Microwave,0.8,5
43,Computer,1.84,5
246,Washing Machine,1.57,5
180,Fridge,0.26,5
489,Heater,2.89,4
408,Microwave,0.39,5
293,TV,0.43,1
45,Washing Machine,0.68,1
427,Air Conditioning,2.46,5
108,Air Conditioning,2.52,2
172,Air Conditioning,2.8,5
312,Lights,1.06,3
383,Heater,2.79,5
248,Oven,0.6,1
71,Heater,2.44,1
137,Oven,1.15,4
91,Oven,0.81,2
260,Dishwasher,1.49,3
394,Heater,3.87,1
288,Washing Machine,1.29,5
346,Dishwasher,0.37,1
